timestamp,requests,trips,supply_hours,mean_surge_multipler
4/9/12 12:00 AM,42,35,19.5,1.08
4/9/12 1:00 AM,19,15,11.5,1.00
4/9/12 2:00 AM,17,14,11.1,1.01
4/9/12 3:00 AM,7,5,3.7,1.03
4/9/12 4:00 AM,11,8,4.5,1.28
4/9/12 5:00 AM,24,19,10.2,1.18
4/9/12 6:00 AM,44,33,16.5,1.22
4/9/12 7:00 AM,81,67,31.5,1.24
4/9/12 8:00 AM,124,103,53.0,1.32
4/9/12 9:00 AM,106,93,52.7,1.14
4/9/12 10:00 AM,105,93,47.3,1.15
4/9/12 11:00 AM,147,128,65.6,1.23
4/9/12 12:00 PM,102,88,49.0,1.19
4/9/12 1:00 PM,86,77,41.5,1.03
4/9/12 2:00 PM,98,85,43.9,1.03
4/9/12 3:00 PM,110,93,48.4,1.18
4/9/12 4:00 PM,112,91,50.3,1.29
4/9/12 5:00 PM,170,142,81.6,1.21
4/9/12 6:00 PM,192,166,89.4,1.13
4/9/12 7:00 PM,185,163,77.0,1.07
4/9/12 8:00 PM,165,139,54.4,1.49
4/9/12 9:00 PM,139,117,47.3,1.32
4/9/12 10:00 PM,97,82,37.8,1.08
4/9/12 11:00 PM,83,66,31.1,1.28
4/10/12 12:00 AM,38,31,16.4,1.27
4/10/12 1:00 AM,16,13,7.8,1.07
4/10/12 2:00 AM,14,11,7.5,1.07
4/10/12 3:00 AM,3,2,1.7,1.02
4/10/12 4:00 AM,4,3,2.1,1.06
4/10/12 5:00 AM,17,14,8.2,1.07
4/10/12 6:00 AM,48,41,21.0,1.07
4/10/12 7:00 AM,112,91,43.9,1.12
4/10/12 8:00 AM,161,136,71.6,1.25
4/10/12 9:00 AM,141,121,71.6,1.14
4/10/12 10:00 AM,84,75,48.2,1.02
4/10/12 11:00 AM,98,89,52.0,1.01
4/10/12 12:00 PM,125,111,64.0,1.01
4/10/12 1:00 PM,108,98,52.8,1.01
4/10/12 2:00 PM,104,92,50.1,1.07
4/10/12 3:00 PM,98,85,45.3,1.10
4/10/12 4:00 PM,112,94,52.4,1.17
4/10/12 5:00 PM,152,126,72.0,1.20
4/10/12 6:00 PM,141,123,67.9,1.08
4/10/12 7:00 PM,152,136,70.3,1.02
4/10/12 8:00 PM,155,137,64.7,1.13
