driver_id,first_completed_trip,lifetime_rating,lifetime_fares,lifetime_completed_trips
48dc-c2db,11/18/10,4.82,8038.10,877
49aa-b176,12/29/11,4.79,9428.02,967
4332-47bc,8/13/10,4.92,13578.02,1719
4004-efca,2/12/12,4.41,2020.95,172
4efa-33c0,4/28/11,4.61,15984.75,1755
473e-8b46,1/13/11,4.59,38344.43,4481
452d-ee3d,10/25/10,4.72,31428.43,3562
4df7-09fd,8/21/10,4.79,63105.08,6301
4c98-9a22,6/27/11,4.76,30314.24,3283
49bd-0b7c,2/8/12,4.88,11082.42,1161
408f-5ff1,11/7/10,4.78,19582.58,2698
4403-a9b0,4/3/12,4.94,760.96,67
4e36-9cab,2/26/12,4.46,2755.00,331
46e0-3688,2/16/12,4.72,7188.14,785
4f81-9298,11/9/10,4.69,44642.50,4803
4248-98f2,2/25/12,4.92,1357.94,129
426c-8516,1/15/10,4.87,41737.23,4300
463c-cb98,11/26/11,4.50,10920.20,1106
448a-d367,8/29/10,4.87,26527.99,935
403e-6c5e,4/27/12,4.91,1016.90,120
41bb-7bd6,11/28/09,4.66,33244.42,3359
4c01-6f1b,2/7/10,4.91,50930.79,5143
48d8-8c58,7/21/10,4.75,20325.87,2090
4a7f-a553,6/28/10,4.87,17968.04,1884
4332-ca4b,5/9/10,4.66,55469.29,6049
41ff-9521,4/24/12,4.25,348.90,29
49e1-4706,6/26/11,4.87,12608.44,1321
4875-dfb3,11/22/10,4.72,43722.75,4544
4a5d-abe8,2/2/11,4.75,4676.96,524
447e-71c0,10/13/09,4.81,123681.86,12632
47b7-05b3,9/7/10,4.74,24589.70,2365
42b6-7805,5/1/12,4.70,379.25,36
4447-094e,7/18/11,4.88,11966.57,1119
4538-b1ab,3/30/11,4.80,33486.89,3912
4a09-5f97,8/5/10,4.80,11485.87,1298
4792-1960,3/23/12,4.54,3379.81,367
4483-0184,6/4/10,4.80,3756.32,329
4300-5615,2/23/12,4.67,2456.31,229
4485-97df,9/13/09,4.62,94095.46,9313
461e-f95c,4/13/09,4.78,31141.51,3119
42f6-eeba,1/6/12,,8518.36,1338
4b33-4989,4/11/12,4.95,1000.87,112
45f5-1e40,11/13/10,4.88,6696.60,704
4fba-ba6a,3/15/10,4.86,79225.70,6877
4934-fe71,12/4/11,4.85,12173.54,1152
4840-6a49,12/30/09,4.84,40379.05,4260
4fd8-7367,2/24/12,4.29,1284.64,162
4385-4173,11/8/10,4.86,11518.22,1394
4cf4-243e,9/29/09,4.78,95215.73,10635
4b61-61ec,1/25/12,4.80,2922.38,376
4cb1-3fbb,9/23/10,4.83,22115.77,2585
491b-5297,5/21/10,4.79,22537.71,2317
4c44-9b8b,10/31/09,4.71,37561.81,4131
4ea3-3b90,11/14/09,4.25,5258.98,531
4b3d-deb7,6/25/10,4.62,57861.90,5743
