rider_id,first_completed_trip,lifetime_trips,first_trip_city_id,lifetime_payments
040b-9e6e,2/28/09,112,1020,3106.19
75cc-bc9e,4/21/11,216,1020,1698.55
7b3b-5562,3/25/10,188,1024,2101.36
a251-1bd5,9/8/09,60,1032,683.39
1276-3268,11/5/11,376,1032,2895.98
2e6b-14a6,5/15/11,63,1020,700.76
6317-f260,11/29/08,127,1032,1171.90
8cb6-b467,12/14/08,190,1112,2585.58
b1b5-b9fc,9/18/11,12,1028,98.82
b803-733a,3/12/11,21,1094,301.41
f2ed-38b1,5/3/09,305,1032,4604.34
3494-0213,1/10/11,154,1032,1012.59
34b8-dd90,11/2/10,177,1032,1693.06
510d-b5cb,5/17/08,388,1032,4592.25
ef22-0377,6/25/09,635,1032,5201.86
0e82-7447,12/16/07,314,1066,2704.80
28d6-f643,7/16/08,142,1032,1188.36
3677-5848,3/7/09,438,1032,3355.62
4031-d51b,1/23/10,705,1032,6839.67
5993-b5f1,5/23/10,64,1032,1977.48
a4b3-68a1,11/13/08,43,1004,460.25
aeb8-7bfa,6/27/09,29,1032,346.53
ba71-0921,2/27/12,3,1574,91.39
d454-2e8e,8/31/09,526,1032,3343.74
eb58-4c70,6/12/10,35,1020,349.26
4a82-f749,12/17/10,389,1032,4629.87
af38-d15a,12/20/09,192,1048,1707.66
e4ef-507a,7/25/10,75,1028,681.01
17b3-1f7d,3/30/12,40,1546,322.94
23f1-39f4,8/22/11,154,1032,975.94
26b8-ab66,8/13/07,436,1032,5344.28
8df3-cc8a,5/3/09,83,1032,728.49
b82e-11b1,7/9/09,101,1032,1244.34
c0c3-d6df,6/2/10,150,2350,1340.30
d07b-962e,2/22/09,287,1032,2160.07
d4e0-db5f,1/23/10,215,1032,2954.26
211a-29dc,4/4/09,267,1032,2650.15
548d-b79f,8/3/06,328,1004,3609.54
8db9-df3a,1/27/08,490,1032,4955.31
9a6e-ce13,10/20/11,65,1032,545.23
c0dc-9d9f,4/14/12,1,1032,5.66
125d-fb62,4/16/09,1720,1032,13410.58
357e-1804,4/16/10,25,1410,192.45
77e9-5c05,11/16/09,607,1078,10608.45
efc3-6254,12/13/09,233,1032,2486.97
1015-f152,9/10/10,82,1136,768.22
1470-afa1,4/8/10,68,1032,788.18
5c58-84b3,2/17/12,67,1032,593.27
815b-b710,1/14/07,622,1032,6153.04
a01d-1435,2/3/08,107,1032,1367.45
a478-7644,10/11/07,142,1032,2396.83
1221-a056,6/1/11,195,1712,1271.15
33c5-858f,10/26/08,462,1066,4049.54
548f-4f2d,2/5/09,142,1032,1312.48
5988-195a,6/25/10,152,1032,1405.34
f05a-3d74,9/19/09,123,1020,1046.02
1bf9-ab91,11/1/09,137,1032,1109.62
2624-5b2a,8/1/09,310,1032,2913.61
7c74-4945,6/11/09,137,1032,1424.27
9cc5-bccf,4/3/09,398,1032,3909.02
b0c6-8848,5/2/10,189,1032,1598.06
b481-36db,10/31/09,113,1066,1524.06
e534-7e94,2/5/09,109,1032,1482.53
e824-946d,1/31/09,197,1032,1634.01
f8f3-8aab,11/24/10,334,1032,3937.66
ffdf-6c8d,6/7/09,204,1078,2407.03
14c1-8770,8/8/09,445,1012,5476.50
2dcc-22f6,1/7/07,863,1032,7223.32
3fdb-eeb3,5/21/11,141,1020,1431.93
58ef-3bad,5/17/10,68,1032,797.38
bf01-0c8f,4/12/12,9,1112,153.86
cfc3-5996,9/11/10,136,1032,1044.94
d58d-9d10,9/2/11,15,1032,106.07
e3ae-87a0,6/20/10,19,1058,267.23
f26c-3ecd,11/5/07,2080,1032,17527.57
340d-e03a,1/30/10,326,1020,2887.76
3b6f-06d8,10/29/09,36,1032,1222.06
3bf5-64db,7/27/08,444,1032,4477.99
491f-47f7,10/7/10,43,1012,409.61
97ce-01ec,11/30/09,42,1032,357.44
9ba9-d8e8,6/3/10,60,1032,617.04
cc79-2c7c,4/16/12,3,1032,19.30
e674-099c,7/30/11,21,1032,294.18
06d5-c9a9,9/7/08,662,1032,5805.30
3182-f095,11/4/11,30,1032,230.16
6cba-624d,7/18/09,17,1128,188.93
79cd-0d7b,6/30/09,175,1058,1791.81
a105-6f5a,12/8/07,456,1032,5357.90
a1d5-2caf,3/14/12,50,1032,395.52
c023-8bea,1/20/09,366,1032,3400.11
d392-7c24,3/8/10,261,1020,2718.66
f675-1480,4/26/08,27,1032,206.55
2971-7937,5/14/09,840,1032,5865.94
3f7c-a22d,3/8/09,460,1032,4117.32
4e4d-bcef,6/23/10,234,1028,1728.38
5c18-3318,12/18/09,127,1032,1093.64
90c5-0988,3/20/10,66,1032,613.19
9b73-ca1e,6/11/09,121,1032,1327.71
ad35-d902,9/25/11,17,1032,237.87
b697-78e7,8/15/09,218,1032,2088.86
c2e8-a915,2/15/09,746,1032,6112.91
d1b1-92b8,1/21/11,124,1004,797.22
e972-79d5,11/13/08,677,1032,6040.50
ff04-cb63,5/24/11,40,1430,352.84
301d-4be6,1/31/07,179,1032,1778.33
629f-1162,10/18/08,588,1032,6334.08
cb38-775f,9/18/08,194,1048,1791.50
fe21-9035,9/9/10,56,1032,355.82
51fd-1f61,9/14/09,122,1092,4357.51
5c92-2552,5/23/07,1083,1032,16830.19
6fad-afc9,8/8/11,46,1032,282.06
df8a-ae18,12/18/10,12,1028,126.72
ff72-f98a,9/11/10,50,1032,461.19
4cda-262a,6/30/11,128,1032,699.54
641d-5686,5/28/10,11,1024,104.44
75d2-b3bd,2/16/08,109,1032,1563.53
7bf5-b03b,5/12/10,144,1570,1549.42
ad50-b1c8,8/12/10,208,1826,2759.02
db22-fd6c,2/14/10,112,1092,1044.98
f0c8-6412,1/1/10,21,1032,272.85
107e-be50,7/31/11,149,1032,1461.79
8f2e-1c1b,8/31/11,25,1276,130.45
bd7a-e8fa,4/26/12,6,1032,77.64
bf62-cabe,8/23/11,122,1032,1581.70
f302-ab42,2/15/09,398,1032,4675.16
0bb0-3672,11/18/07,197,1032,2592.00
3e1e-1923,1/7/09,175,1032,2599.10
8211-2da5,8/19/07,579,1032,6427.68
9798-95f4,11/6/09,216,1032,1827.05
9898-1146,5/16/09,281,1112,1977.74
d9f9-2b25,12/14/08,86,1112,944.92
dd9a-1d91,11/1/09,115,1066,927.53
e234-1ae6,12/13/08,770,1024,11257.48
24fa-6aa3,2/8/09,575,1032,5629.82
342f-6593,11/21/09,212,1032,1772.53
6584-1a49,4/29/12,6,1032,41.48
784f-54eb,11/28/09,115,1032,968.25
85ce-dbeb,9/11/09,136,1032,1536.86
a500-7fb2,4/20/12,12,1112,115.06
c7ce-b951,6/23/10,54,1032,686.58
cb53-3ac2,5/3/11,660,1032,4202.78
1c75-86eb,4/11/12,7,1032,74.22
5719-5ec8,3/8/08,289,1032,4495.55
a47e-1655,7/31/10,273,1032,2428.68
b4e4-e019,2/13/09,113,1032,1110.80
c406-2b69,7/14/10,319,1032,2555.64
eed3-b5b1,11/7/09,211,1020,2595.46
fec9-17c0,11/21/09,71,1112,461.83
0932-9d96,12/12/09,240,1020,2309.86
2caa-eec9,9/8/11,63,1032,466.65
6d6f-439a,11/15/08,144,1032,1007.26
6f42-03e2,2/16/11,15,1032,203.16
8660-4454,12/29/07,384,1032,3998.51
b72b-28c8,6/26/09,81,1032,1218.09
bd29-6913,7/24/09,54,1032,582.98
d028-b7dc,4/15/09,94,1082,879.51
eaf8-8117,10/27/10,88,1708,1224.21
ff9f-2192,9/9/07,172,1032,1442.94
baa2-d012,9/23/11,72,1032,613.17
bf2c-6b64,4/26/12,5,1032,40.43
d27f-75a9,9/15/11,17,1024,151.62
d33a-abd0,12/31/09,238,1020,2432.15
d5eb-f06a,1/1/10,747,1032,4262.19
f235-a316,11/22/09,100,1138,925.70
fcab-919e,1/15/12,8,1082,94.23
211b-a432,5/17/09,383,1596,5000.75
25d1-c3c4,11/23/07,643,1032,5340.11
3b0e-b5a5,8/3/11,28,1032,335.10
737b-97d6,3/29/08,541,1032,7576.88
fc12-0bc4,9/14/08,269,1052,2909.69
089c-9258,5/22/09,883,1032,9055.42
6e01-02e6,4/20/07,286,1032,3325.69
bf85-e478,9/18/10,487,1032,3598.90
c758-32f2,6/26/10,83,1016,786.31
504d-6349,3/6/10,148,1032,1174.76
7c20-e531,10/16/09,322,1048,5417.41
906f-dda3,2/23/08,341,1032,2631.70
b411-a1b2,9/13/08,322,1032,4620.60
0101-5380,6/5/08,904,1032,6419.27
1858-6e8f,11/6/09,114,1020,1333.95
4138-7d6b,8/16/09,60,1032,864.85
a3a0-f736,5/3/10,104,1040,928.20
b36a-4597,5/2/09,117,1032,1417.65
f852-e208,10/23/08,192,1028,2801.68
107b-7975,5/12/10,18,1020,219.44
402a-9c3b,1/24/09,1156,1032,8928.26
5845-0a1e,2/12/10,90,1032,910.30
985f-c379,1/22/10,44,1082,400.24
af57-4558,6/8/09,132,1078,1957.00
b0ef-ace4,1/8/07,341,1032,3670.65
f4f8-171e,10/18/09,348,1032,3270.62
46db-7abd,3/15/12,51,1032,387.24
6248-1e51,2/27/10,114,1032,1342.36
6fb9-9c9f,11/7/09,156,2330,1101.18
7c2c-050d,2/9/08,77,1032,1546.27
b4b8-e40b,2/4/09,328,1032,3365.54
c980-d325,12/27/09,309,1042,2387.27
cd83-5f17,1/8/12,190,1032,1087.24
2764-7d2f,2/10/09,447,1032,3045.51
2ec7-dcbd,11/14/07,461,1032,3904.50
5a6c-f572,1/29/12,15,1070,139.38
696c-7c23,8/28/11,481,1032,4858.44
e2d6-c7b3,4/26/07,802,1032,12121.66
0570-6548,6/29/08,819,1032,9253.25
0705-fe2c,11/26/07,390,1032,4617.43
5c07-41b5,6/6/09,127,1048,3769.99
627d-90d5,12/16/08,136,1032,1222.86
940c-2bfc,1/7/10,208,1040,2360.98
f22d-804a,11/21/10,237,1032,2300.46
2ec8-2e38,4/18/12,3,1032,22.98
37cf-46f7,5/9/10,13,1066,171.44
6ad3-4047,5/16/10,143,1032,2148.74
a82d-4289,3/23/11,74,1032,539.85
bac9-000e,10/23/08,323,1032,3992.64
9635-8f57,4/14/09,53,1032,584.27
ae3c-38d9,9/6/09,409,1032,3271.92
0b86-7b61,4/3/10,570,1032,4776.44
4f9c-c0f3,11/24/07,381,1032,3455.04
6abf-051a,2/13/12,91,1032,1816.48
7e1b-f56f,5/10/09,109,1048,1428.66
8e54-91b6,8/9/11,222,1032,2002.62
8fc5-4d65,12/31/09,226,1032,13686.53
9669-9170,9/25/07,37,1032,512.70
9e0e-59b8,7/3/11,21,1032,184.92
a4fd-fcdf,11/1/08,110,1032,1039.62
f1ce-5dfc,2/13/11,36,1032,297.90
fe03-249e,3/1/09,37,1032,675.58
031f-2f87,6/14/07,460,1032,3785.67
37a7-7846,1/25/08,592,1032,5682.84
4aa7-73c5,11/2/08,487,1032,4705.53
bd26-b7b8,7/4/09,288,1032,2445.65
d822-ec75,3/5/10,117,1582,1023.41
d99e-6bfa,4/14/12,3,1032,24.76
fdaf-73b1,5/9/11,162,1032,1397.43
0589-0867,4/28/12,1,1032,12.34
5b11-9a39,11/27/09,92,1032,869.78
84e5-a20c,4/30/11,89,1032,753.47
a1a2-2c14,3/18/08,239,1020,3674.94
ad15-c699,4/12/12,5,1032,46.06
aedd-63ad,4/5/09,164,1032,1499.33
c2b8-48df,10/18/08,174,1086,2902.69
f9c4-e6ec,9/20/08,213,1112,1454.67
1f4c-47f0,7/1/07,713,1032,7440.23
23ba-03d4,9/23/09,452,1032,5895.13
4e18-3be2,4/25/10,147,1032,1066.98
5f2b-186e,2/9/11,185,1032,1524.88
7279-9e78,12/25/09,168,1032,1814.56
e5d7-03ba,7/11/09,29,1020,493.03
f9b1-6aec,7/27/10,15,1094,121.68
2ad9-0356,1/25/11,125,1032,716.20
6969-4050,7/8/11,158,1032,1274.49
5042-cbe4,7/8/10,87,1032,1153.46
6ed5-314f,7/21/09,60,1032,841.94
b7b1-72de,10/20/10,650,1032,5868.73
cdc3-6927,6/13/10,333,1032,5288.90
f9df-ea8e,6/15/08,326,1020,3887.66
089b-8ebc,12/22/09,147,1032,1063.14
9337-13c2,6/12/11,138,1032,2270.14
b195-10b8,9/11/11,19,1042,162.71
b764-f4ad,4/3/10,81,1814,2190.78
c872-f879,4/4/12,33,1032,294.78
244b-06d9,12/6/11,7,1032,53.38
5cf7-17b6,3/3/12,11,1032,87.04
7aeb-9d31,10/15/10,64,1032,516.60
8e28-58ca,12/27/08,246,1032,2615.89
b396-d0fb,6/12/09,107,1032,1430.70
c52b-55f3,8/25/09,257,1032,2136.18
cf0b-e16a,3/11/09,643,1032,4288.42
38c8-dedd,4/1/11,75,1032,608.12
49dc-32d3,5/5/10,531,1012,5054.18
8a44-cb3f,10/9/09,689,1032,6288.30
93f6-8a7a,7/13/09,177,1032,1800.40
9ed9-e7b9,4/10/12,5,1032,74.95
a2f4-2337,3/24/07,375,1032,9476.52
aee8-7cc2,2/27/11,126,1032,1026.82
c57a-cea8,8/28/10,326,1020,4498.25
e495-4164,4/13/12,3,1032,47.37
ea50-fc45,12/22/07,422,1032,5070.82
ec4c-0c24,12/17/10,25,1032,220.70
fd9c-7cca,9/2/09,462,1020,5647.18
10ec-7a91,3/27/08,774,1032,6687.83
48db-0d0f,11/19/09,27,1032,211.93
60f5-6692,11/29/09,60,1004,638.02
765d-3f7c,1/12/11,18,1020,284.79
8038-0c5a,2/11/08,991,1032,10677.88
ad9e-1564,6/24/11,107,1032,1184.24
c238-a589,4/12/11,206,1032,2015.55
c4a0-be98,7/4/09,539,1032,4558.24
cb71-d8ff,4/14/10,41,1032,395.51
fe0b-d7e3,7/31/10,55,1032,394.58
fe36-3676,8/31/08,367,1032,3846.79
06c7-9058,10/10/09,59,1032,626.66
1848-87e9,12/20/07,251,1004,5159.22
31e2-9863,9/16/10,29,1040,423.99
4ec4-e64c,3/22/11,45,1578,337.94
5008-6dfc,10/9/10,46,2330,462.58
5784-81cb,2/26/11,462,1032,3023.55
6e41-8687,12/11/10,14,1090,225.10
746c-822a,10/31/09,300,1032,1996.46
82b0-711a,12/14/09,97,1032,715.24
ebb5-03f1,12/20/09,102,1684,688.62
f8c7-410e,11/30/08,162,1032,1678.78
fb97-d9ea,11/18/09,347,1048,2448.39
0c51-9993,11/19/08,141,1032,2686.61
30cb-b255,11/30/08,310,1032,2430.34
5d9a-5de6,12/7/09,451,1042,3891.75
7226-c894,9/2/11,17,3422,105.47
7ca9-e050,7/11/09,153,1032,1525.97
94b0-caaf,4/7/12,12,1032,127.07
c746-495e,11/23/08,267,1032,1628.25
fa41-7069,4/25/12,1,1032,8.27
fb2f-0347,11/27/11,13,1032,133.22
0e7d-4206,2/5/11,188,2330,1809.46
5edd-ed8b,4/20/12,7,1032,40.79
ea36-1233,7/8/09,330,1154,3157.95
9e00-38a4,9/12/09,370,1424,3447.88
a90d-761d,5/11/11,154,1032,1659.06
af4b-ed73,3/23/09,249,1048,2110.43
fcdc-08d4,3/15/08,495,1024,7217.85
41f3-b387,8/4/07,425,1032,4260.88
6058-76ed,8/3/08,79,1078,1762.94
71ac-c023,9/1/07,381,1032,2617.80
8741-59ab,6/13/07,333,1032,4527.41
8c8c-a836,11/8/08,460,1032,3725.79
ca21-173e,10/14/11,26,1032,503.18
d544-5281,10/22/11,11,1032,159.58
dc95-e64b,4/12/08,860,1032,11883.60
071e-b533,4/25/12,8,1032,42.21
8b41-2029,11/7/07,524,1032,4848.60
abe7-d4bc,3/8/09,473,1040,3991.58
b50b-a57c,6/24/11,74,1032,665.37
b769-84fe,5/6/09,632,1032,5874.61
d17d-b944,2/24/11,177,1032,1467.50
32bb-9622,1/11/11,226,1032,1656.42
3497-c1fe,7/28/09,75,1004,766.81
3e52-fc44,2/4/10,185,1032,1414.10
8eda-f398,5/17/09,79,1020,807.65
c202-5937,9/28/09,129,1020,1297.24
cca5-cc07,6/24/10,35,1032,310.34
dd04-8a2d,1/7/11,102,1020,741.38
e999-7cc3,4/2/08,200,1032,4133.19
2601-c3f8,10/18/09,29,1020,608.73
2994-bd68,4/24/11,138,1048,1281.87
2f51-1c3d,3/24/10,380,1990,1053.60
4f55-c72b,2/12/10,190,1120,1265.30
867f-3ea3,12/1/08,1051,1032,9224.64
a17b-639b,6/19/08,122,1032,1499.74
03be-8940,7/29/09,239,1032,2180.97
3ef4-6fd4,9/1/07,364,1032,4170.27
4e29-647a,11/23/08,565,1032,5368.93
56ef-ac7c,3/13/10,203,1708,1453.87
7471-51eb,10/30/08,758,1032,6008.27
8401-4389,8/20/10,166,1032,1948.60
9964-d5d7,2/5/10,24,1032,256.94
9bdf-012c,1/6/95,3,1000,101.68
b368-afe7,4/13/10,41,1032,441.02
b950-33c0,12/25/10,17,1032,160.10
0da4-30f6,7/15/11,208,1020,4118.56
6694-6d87,12/29/09,446,1024,3180.35
9754-50d1,2/7/10,238,1972,2030.29
6f41-3445,9/2/08,934,1048,12991.50
89ed-50b7,4/13/11,13,1066,97.03
a661-4652,12/26/09,91,1032,590.98
a709-8016,11/28/11,52,1032,348.62
b4ed-9c43,8/28/08,563,1020,12248.99
cb4e-fd03,12/4/08,150,1032,1537.93
cc6c-9d4e,9/29/11,248,1032,2227.23
e610-1cf8,2/28/09,89,1024,810.95
172d-acc4,6/11/09,97,1086,1317.45
5aa8-7d57,2/25/09,149,1020,2057.39
83c5-87c1,7/12/09,304,1032,2734.82
88da-4f75,11/17/06,2047,1024,28179.30
8e02-7b6e,10/19/07,293,1032,6204.82
96a7-4e6a,2/18/07,162,1032,2135.17
adbd-dd78,11/3/07,356,1032,5184.27
b658-0149,9/7/09,204,1724,1264.50
e162-e653,7/9/08,660,1032,5951.35
f79d-c053,2/27/11,428,1078,3446.13
fbc7-28af,7/21/09,50,1032,436.80
29c3-76d8,11/7/09,88,1032,822.25
328a-5a23,7/24/08,70,1032,887.41
3fba-7520,5/5/07,151,1032,1681.46
63f4-d087,12/10/08,303,1032,3519.45
675f-369e,3/28/11,136,1086,1339.26
dd40-8ec1,11/6/10,28,1032,261.16
f75d-cd4b,7/30/08,254,1032,2315.61
3c65-4b90,12/19/08,297,1032,2196.34
512f-e359,1/6/95,1,1000,33.82
93fa-9ebb,2/10/11,57,1066,658.01
dbb4-16ca,8/31/09,160,1078,1368.62
0779-f9c7,1/23/10,166,1032,2608.00
1c2c-7c83,4/11/12,5,1032,69.58
25d4-1a91,11/13/09,49,1040,665.86
59d7-79d7,12/3/07,817,1024,7252.75
89cf-4d9b,7/3/10,330,1032,2480.88
8d6b-7458,9/12/10,812,1032,7912.05
9ac8-d80e,7/6/09,271,1032,4329.13
a8a5-acc9,2/27/10,30,1112,292.35
cd1a-0e78,4/18/12,4,1032,29.96
ecaa-14b2,10/20/10,100,1032,754.40
f783-da8d,8/7/09,218,1024,4007.69
13dd-55fe,3/8/12,109,1032,1159.13
1c47-7fd7,3/20/12,20,1032,222.48
206c-fda5,10/23/10,154,2330,3005.18
7ff5-4f0d,1/10/11,10,1040,174.82
8442-5b7a,1/30/10,163,1032,1428.32
8e08-68c2,10/31/10,5,1032,70.40
b52a-04d0,3/15/09,329,1032,2726.55
d9fa-7e7f,4/7/12,33,1032,207.41
19d2-91be,2/4/08,586,1032,7497.81
31b2-4cbe,9/11/09,538,1070,4807.48
6729-a48a,11/27/08,223,1032,2514.93
784c-8825,4/8/12,10,1032,52.35
b18c-12a8,4/11/07,339,1032,4405.21
d94a-e19a,1/7/09,65,1032,819.81
db0b-476d,4/4/10,296,1032,2757.91
e97b-07ea,4/17/12,3,1032,19.05
f051-644c,6/6/10,283,1032,2420.38
ffc7-0961,10/24/10,42,1032,619.18
095a-d607,5/30/09,453,1032,3893.75
0c2f-3a40,4/5/10,329,1032,3707.26
52f2-82c2,4/24/09,232,1428,2896.90
88e3-17b0,6/12/10,105,1112,970.59
ade0-5071,1/30/10,125,1032,1471.64
c2b1-4bf3,1/31/12,126,1032,1922.66
c5bb-4805,9/8/10,81,1032,653.31
d058-393e,10/31/09,52,1032,599.23
e988-eda4,6/14/07,515,1032,5132.50
f3c3-f361,5/9/10,28,1684,254.17
f940-256a,10/14/09,281,1032,2464.88
1e6c-bfbe,8/28/10,39,1086,388.31
3f35-8bac,4/5/09,70,1570,709.54
8ed4-e4f0,6/14/10,78,1032,595.66
b096-2c8d,7/15/10,26,1268,280.47
b50a-58cd,12/5/09,252,1570,2827.13
dab1-3e56,6/20/09,164,1024,1721.21
0017-2583,7/19/09,246,1032,2366.16
0bf8-1581,4/15/11,160,1650,1048.99
2159-8720,10/16/10,217,1840,1424.51
21ce-0f5d,11/26/10,7,1410,47.30
3879-c875,7/19/09,337,1562,2968.76
72da-f2e3,8/17/10,160,1058,5955.87
bf67-a001,5/1/12,8,1032,52.68
caba-dc90,11/9/10,52,1032,498.94
dfca-822f,10/7/08,185,1032,2362.56
57a4-c39e,7/24/07,372,1032,8871.02
7464-d11d,1/7/07,468,1032,5948.91
2ce4-7556,9/7/11,285,1032,3501.33
7053-acef,5/9/09,18,1066,354.42
8a0f-b3d1,3/13/11,160,1032,2296.31
dfea-1343,12/26/09,367,1032,3687.58
0f87-b2e1,9/28/08,188,1020,1803.23
2470-7a6e,12/11/10,410,1032,3127.70
359c-7299,10/6/10,28,1032,364.20
3781-fa68,7/27/08,624,1032,5876.87
403f-f0f7,4/20/12,10,1032,154.93
6bd3-fcee,7/25/09,206,1032,1833.88
bf46-09df,7/17/09,23,1926,400.77
f9f8-c5f1,5/14/07,989,1032,9235.32
4f5d-8cc3,1/2/11,52,1020,816.70
5e87-389b,3/18/10,646,1032,8508.69
8a9f-4251,8/18/10,55,1032,394.70
be83-0226,1/17/10,129,1032,878.67
d22c-9ee1,12/14/07,894,1032,8668.81
d741-1244,7/26/11,72,1024,1323.28
da72-2534,7/8/08,187,1032,1846.72
55e0-78b7,8/14/09,358,1004,3036.47
78fa-24f6,3/28/09,144,1032,1875.97
6831-fe90,5/19/11,7,1032,55.64
973d-e9ee,8/28/08,349,1032,4241.74
cc86-fc15,4/24/12,1,1032,12.69
d8c8-bde4,8/15/08,768,1032,8358.00
98af-d068,5/24/09,149,1020,1752.73
